# x,y,v,lane_id
3.082175,0.831063,7.0000,0
6.898869,0.097083,7.0000,0
10.764496,-0.025247,5.0000,0
13.064299,1.980964,3.8900,0
13.724880,3.840379,3.3100,0
14.556724,4.941349,3.0000,0
13.553618,5.919989,2.1820,0
12.134591,5.455135,2.0820,0
11.987795,4.133971,2.0000,0
11.278281,2.788342,2.5000,0
10.568768,1.785236,3.0000,0
9.272070,1.883100,2.3190,0
8.856148,3.130866,2.0000,0
9.076342,4.672223,3.0000,0
8.709352,6.213581,2.5010,0
7.681781,6.678434,2.0000,0
5.333046,7.314550,7.0000,0
1.516351,8.170860,5.0000,0
-1.688693,8.635714,2.5000,0
-3.181119,9.345227,2.0000,0
-4.086360,8.195326,2.0000,0
-3.278983,6.800764,2.0000,0
-2.080149,7.045424,2.0000,0
-0.856850,6.825230,7.0000,0
3.400233,5.895523,4.0000,0
5.259648,5.088145,2.0000,0
6.409549,4.941349,2.0000,0
6.776539,3.399992,2.0000,0
5.700036,2.421352,2.0000,0
3.644892,3.130866,7.0000,0
-1.982285,3.766982,3.0000,0
-4.061894,4.158437,2.0000,0
-5.016068,2.666012,2.0000,0
-4.257622,0.953393,2.2650,0
-2.838595,1.344849,2.5000,0
-1.199374,1.467178,3.0000,0
0.513246,1.320383,7.0000,0
2.739651,0.439607,7.0000,1
6.825471,-0.685829,7.0000,1
10.911291,-0.832625,4.5000,1
13.553618,0.635335,3.8900,1
14.581190,3.620186,3.6120,1
15.021578,5.332805,3.4560,1
14.238666,6.189115,3.0000,1
12.183523,6.164649,2.1070,1
11.718669,5.039213,2.0000,1
11.327213,3.815913,2.5000,1
10.642166,2.470284,2.0000,1
10.054982,2.445818,2.4230,1
9.418866,2.763876,2.7120,1
9.272070,4.867951,3.0000,1
9.272070,6.433774,2.5460,1
7.877509,7.290084,2.0000,1
5.455376,7.877268,7.0000,1
1.589749,8.709111,5.0000,1
-1.248306,9.369693,3.3480,1
-2.911993,8.929305,2.5000,1
-4.110826,7.754938,2.0000,1
-3.376847,6.360376,2.0000,1
-2.422673,6.653968,2.0000,1
-0.979180,6.311444,7.0000,1
3.253437,5.234941,4.0000,1
5.210716,4.598825,2.0000,1
5.920230,3.962709,2.0000,1
5.235182,3.155332,2.0000,1
4.550134,3.375526,2.0000,1
3.522562,3.497856,7.0000,1
-2.006751,4.452029,3.0000,1
-4.820340,4.085039,3.0000,1
-5.040534,2.421352,2.0000,1
-4.844806,1.222519,2.2650,1
-3.694905,0.537471,2.5000,1
-2.006751,0.904461,3.0000,1
0.293052,0.831063,7.0000,1
